priority,rank,name,url,focus,feature,evidence,source,source_page
1245,Q,Alicia Keys,https://www.awwwards.com/sites/alicia-keys,motion,映像・音声,Music & Sound / Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=58
1246,Q,Sal Parasuco,https://www.awwwards.com/sites/sal-parasuco,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=58
1247,Q,hyogen,https://www.awwwards.com/sites/hyogen,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=58
1257,Q,Thinkingbox,https://www.awwwards.com/sites/thinkingbox,motion,映像・音声,Photo & Video / Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=59
1259,Q,The Space that makes us Human,https://www.awwwards.com/sites/the-space-that-makes-us-human,motion,映像・音声,Photo & Video / Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=59
1263,Q,Junges SchauSpielHaus Hamburg,https://www.awwwards.com/sites/junges-schauspielhaus-hamburg,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=59
1270,Q,Eva Habermann,https://www.awwwards.com/sites/eva-habermann,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=59
1277,Q,Encyclopedia of the Farm,https://www.awwwards.com/sites/encyclopedia-of-the-farm,typography,映像・音声,Photo & Video / Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=59
1281,Q,Ljubicic Tennis Academy,https://www.awwwards.com/sites/ljubicic-tennis-academy,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=60
1288,Q,TOGETHXR,https://www.awwwards.com/sites/togethxr,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=60
1311,R,DPT.,https://www.awwwards.com/sites/dpt,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1312,R,2021 Virtual Webbys,https://www.awwwards.com/sites/2021-virtual-webbys,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1314,R,Beyond the Fold,https://www.awwwards.com/sites/beyond-the-fold,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1323,R,Wanda,https://www.awwwards.com/sites/wanda-1,motion,映像・音声,Photo & Video / Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1325,R,ZOOX,https://www.awwwards.com/sites/zoox,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1326,R,Benjamin Righetti,https://www.awwwards.com/sites/benjamin-righetti,motion,映像・音声,Music & Sound / Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1327,R,Seventh Movement,https://www.awwwards.com/sites/seventh-movement,motion,映像・音声,Photo & Video / Sound-Audio / Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1329,R,Pone - LISTEN AND DONATE,https://www.awwwards.com/sites/pone-listen-and-donate,motion,映像・音声,Music & Sound,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1333,R,Go Love Yourself!,https://www.awwwards.com/sites/go-love-yourself,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1338,R,AirPods Max,https://www.awwwards.com/sites/airpods-max,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1341,R,Priestess,https://www.awwwards.com/sites/priestess,motion,映像・音声,Music & Sound,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=61
1342,R,Lucid Motors,https://www.awwwards.com/sites/lucid-motors,motion,映像・音声,Photo & Video / Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=62
1343,R,The Harmonic State,https://www.awwwards.com/sites/the-harmonic-state,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=62
1349,R,Gabriel Cuallado,https://www.awwwards.com/sites/gabriel-cuallado,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=62
1351,R,"Fan Study, Spotify for Artists",https://www.awwwards.com/sites/fan-study-spotify-for-artists,motion,映像・音声,Music & Sound,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=62
1352,R,Poltrona Frau - Take Your Time,https://www.awwwards.com/sites/poltrona-frau-take-your-time,product,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=62
1353,R,Moooi - Beauty Blooms,https://www.awwwards.com/sites/moooi-beauty-blooms,motion,映像・音声,Music & Sound / Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=62
1361,R,K72,https://www.awwwards.com/sites/k72,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=62
1365,R,Mike L.Murphy,https://www.awwwards.com/sites/mike-l-murphy,typography,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=62
1368,R,The Field,https://www.awwwards.com/sites/the-field,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=62
1379,R,Steven Taylor,https://www.awwwards.com/sites/steven-taylor,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=63
1381,R,Zorba,https://www.awwwards.com/sites/zorba,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=63
1384,R,Emmit Fenn - Far From Here,https://www.awwwards.com/sites/emmit-fenn-far-from-here,motion,映像・音声,Music & Sound / Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=63
1396,S,sabato,https://www.awwwards.com/sites/sabato,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=63
1399,S,Ōmbia Studio,https://www.awwwards.com/sites/ombia-studio,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=63
1404,S,Tecate Pa'l Norte Virtual 2021,https://www.awwwards.com/sites/tecate-pal-norte-virtual-2021,motion,映像・音声,Music & Sound,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1406,S,Finely Crafted,https://www.awwwards.com/sites/finely-crafted,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1410,S,Kategora,https://www.awwwards.com/sites/kategora,motion,映像・音声,Music & Sound / Photo & Video / Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1412,S,The laughing cow® 100 years,https://www.awwwards.com/sites/the-laughing-cow-r-100-years,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1414,S,Penderecki's Garden,https://www.awwwards.com/sites/pendereckis-garden,motion,映像・音声,Music & Sound / Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1415,S,CRE8TIVE Agency,https://www.awwwards.com/sites/cre8tive-agency,motion,映像・音声,Music & Sound,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1416,S,Awd Agency,https://www.awwwards.com/sites/awd-agency-1,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1421,S,For the Love of Bread,https://www.awwwards.com/sites/for-the-love-of-bread,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1423,S,Studio Sentempo,https://www.awwwards.com/sites/studio-sentempo,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1425,S,Happy Face,https://www.awwwards.com/sites/happy-face,motion,映像・音声,Music & Sound / Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1428,S,Matthew Fisher,https://www.awwwards.com/sites/matthew-fisher,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1430,S,At Glacier's End,https://www.awwwards.com/sites/at-glaciers-end,typography,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1433,S,Rhythm of Nature,https://www.awwwards.com/sites/rhythm-of-nature,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1434,S,Flipaclip,https://www.awwwards.com/sites/flipaclip,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=64
1456,S,Lewa House,https://www.awwwards.com/sites/lewa-house,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=65
